Course_ID,Course_Feature_0,Course_Feature_1,Course_Feature_2,Course_Feature_3,Course_Feature_4,Course_Feature_5,Course_Feature_6,Course_Feature_7,Course_Feature_8,Course_Feature_9,Course_Feature_10,Course_Feature_11,Course_Feature_12,Course_Feature_13,Course_Feature_14,Course_Feature_15
TMP0106,0.035075538,-0.1415832,-0.015483585,0.014633557,0.07813726,-0.019578194,0.09418344,-0.16360241,0.012082021,-0.0794477,0.11170255,-0.11088455,-0.04510359,-0.21777035,0.06483196,-0.12648693
CB0201EN,-0.034268558,0.13121761,0.07149949,0.017121179,-0.12969324,-0.02824443,-0.023314072,-0.023933914,-0.058308087,0.019941872,0.027786873,0.019048119,-0.17587402,0.06280102,0.07795921,-0.03335951
GPXX0T0FEN,0.12206922,-0.039301336,0.06732959,-0.005449282,0.008556313,0.045735974,0.04912571,-0.086338654,0.14386664,-0.14648832,0.045799855,0.044381883,-0.06155178,-0.06681719,-0.13875775,0.0024174766
DB0111EN,-0.009888375,-0.06602379,-0.1363228,0.07923836,0.004866519,-0.032171104,-0.040244102,-0.038714267,-0.12424695,0.018524284,0.068080835,-0.06217153,0.00061181677,0.015069749,0.0010224247,-0.031642027
PHPM002EN,-0.13665983,0.04597967,0.049446054,-0.17760986,0.07204663,0.09919219,-0.2899402,-0.033027116,0.021988045,-0.028731005,0.08735958,-0.046792995,-0.2015239,0.045517746,0.11358996,0.00057841046
TMP107,-0.0006359377,-0.071332596,-0.033208918,0.027476639,0.023717746,0.052651078,-0.054943938,-0.030987743,-0.074916646,0.006764078,0.0013374173,-0.0060523576,-0.099280946,0.015578587,-0.016690465,0.0014400884
DA0201EN,0.056880996,-0.045264617,0.014485737,0.060000252,-0.09375237,-0.002514451,0.0020094533,0.12437548,-0.005313384,-0.009214792,0.0014015994,-0.04803117,-0.07552952,-0.05331653,-0.023638012,0.02862115
ST0201EN,0.033691484,-0.06681366,0.07098892,-0.026388317,-0.010508247,-0.011902923,0.012810999,-0.094130024,0.015064269,-0.1299327,-0.03381376,0.008067063,0.016847827,-0.05591219,0.055849805,0.013231625
DX0106EN,0.021851968,0.026281288,0.018656882,0.028838255,0.019641133,0.09687219,0.01471558,0.040808372,-0.025666984,-0.010428913,0.05649487,-0.0668772,0.044197474,0.002691009,-0.072850615,-0.114867255
CC0271EN,0.08977646,0.12790915,-0.05014708,0.011106653,-0.109316915,-0.10739149,-0.038969707,0.11561307,0.021139,-0.081728846,0.13392252,0.026303913,-0.1015224,0.21443443,0.17323121,-0.09152667
DX0107EN,-0.025699226,-0.05046073,0.070044376,0.0079212515,-0.1089454,0.039381072,0.15234797,0.027744602,0.007294537,-0.05833409,-0.018393058,-0.048351213,0.14045064,-0.0054762764,0.040628035,-0.03341613
